City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
180,Martin,US,2021-07-20 17:03:01,27.0837,-80.4164,93.96,58,29,5.7
181,Lobito,AO,2021-07-20 17:03:01,-12.3481,13.5456,71.1,84,53,4.76
182,Hobart,AU,2021-07-20 17:03:02,-42.8794,147.3294,42.93,79,28,3.0
183,Verkhnyaya Inta,RU,2021-07-20 17:03:03,65.9811,60.3094,54.14,73,80,1.45
184,Tilichiki,RU,2021-07-20 17:03:03,60.4667,166.1,50.22,68,86,2.1
185,Kinsale,IE,2021-07-20 17:03:03,51.7075,-8.5306,76.37,64,20,9.22
186,Kalmunai,LK,2021-07-20 17:03:04,7.4167,81.8167,82.0,65,97,6.33
187,Provideniya,RU,2021-07-20 17:03:05,64.3833,-173.3,47.5,95,100,1.23
188,Bathsheba,BB,2021-07-20 17:01:08,13.2167,-59.5167,83.84,67,76,17.25
189,Khakhea,BW,2021-07-20 17:03:05,-24.6895,23.494,53.29,40,1,3.09
190,Gisborne,NZ,2021-07-20 17:03:06,-38.6533,178.0042,46.92,88,100,6.91
191,Sanandaj,IR,2021-07-20 17:03:07,35.3144,46.9923,88.45,15,3,8.7
192,Casper,US,2021-07-20 17:02:53,42.8666,-106.3131,85.5,36,1,6.91
193,Bubaque,GW,2021-07-20 17:03:07,11.2833,-15.8333,82.65,75,29,10.13
194,Harper,LR,2021-07-20 17:03:07,4.375,-7.7169,78.89,67,87,9.4
195,Zhigansk,RU,2021-07-20 17:03:08,66.7697,123.3711,55.47,79,100,9.35
196,Freeport,US,2021-07-20 17:03:08,40.6576,-73.5832,89.29,63,20,4.0
197,Port Lincoln,AU,2021-07-20 17:03:08,-34.7333,135.8667,52.14,58,100,5.21
198,Tasiilaq,GL,2021-07-20 17:03:09,65.6145,-37.6368,41.45,95,99,6.11
199,Lavrentiya,RU,2021-07-20 17:03:09,65.5833,-171.0,45.57,96,100,4.09
200,La Romana,DO,2021-07-20 17:01:50,18.4273,-68.9728,90.07,49,95,16.51
201,Kavieng,PG,2021-07-20 17:03:10,-2.5744,150.7967,80.71,79,100,2.98
202,Ust-Kulom,RU,2021-07-20 17:03:10,61.6864,53.6902,65.14,60,100,1.92
203,Leua,SK,2021-07-20 17:03:10,48.2156,18.6071,75.49,55,33,13.69
204,Causapscal,CA,2021-07-20 17:03:11,48.3542,-67.227,65.12,80,99,9.66
205,Raudeberg,NO,2021-07-20 17:03:11,61.9875,5.1352,60.4,72,58,17.02
206,Darnah,LY,2021-07-20 17:03:11,32.767,22.6367,79.83,72,0,11.7
207,Seymchan,RU,2021-07-20 17:03:12,62.8833,152.4333,61.88,58,75,3.78
208,Whitehorse,CA,2021-07-20 17:01:53,60.7161,-135.0538,65.73,58,98,4.54
209,Ponta Do Sol,PT,2021-07-20 17:03:12,32.6667,-17.1,77.63,74,2,1.39
210,Lasa,IT,2021-07-20 17:03:13,46.6166,10.7002,80.51,43,5,2.21
211,Sinnamary,GF,2021-07-20 17:03:13,5.3833,-52.95,83.82,71,27,7.14
212,Saint Simons,US,2021-07-20 17:03:13,31.1352,-81.3901,91.44,58,40,11.5
213,Bandarbeyla,SO,2021-07-20 17:03:13,9.4942,50.8122,76.78,81,93,28.9
214,Narsaq,GL,2021-07-20 17:03:14,60.9167,-46.05,50.22,88,100,4.05
215,Awjilah,LY,2021-07-20 17:03:14,29.1081,21.2869,93.36,27,0,15.73
216,Afrikanda,RU,2021-07-20 17:03:14,67.4429,32.7828,50.76,67,96,14.83
217,Cidreira,BR,2021-07-20 17:03:15,-30.1811,-50.2056,59.7,46,4,8.48
218,Wajir,KE,2021-07-20 17:03:15,1.7471,40.0573,85.73,38,95,22.32
219,Matata,NZ,2021-07-20 17:03:15,-37.8833,176.75,44.58,88,100,1.77
220,East London,ZA,2021-07-20 17:03:16,-33.0153,27.9116,63.07,74,100,11.01
221,Chai Badan,TH,2021-07-20 17:03:16,15.2,101.1333,79.9,86,100,9.08
222,Te Anau,NZ,2021-07-20 17:03:17,-45.4167,167.7167,38.39,92,99,2.42
223,Urucara,BR,2021-07-20 17:03:17,-2.5364,-57.76,85.01,63,80,3.89
224,Portree,GB,2021-07-20 17:03:17,57.4129,-6.1942,63.86,74,41,6.02
225,Hailar,CN,2021-07-20 17:03:17,49.2,119.7,69.26,85,54,6.13
226,Kieta,PG,2021-07-20 17:03:18,-6.2167,155.6333,77.83,84,84,3.78
227,Iskateley,RU,2021-07-20 17:03:18,67.6803,53.1512,57.38,76,98,6.82
